DBN,school_name,math_score,reading_score,writing_score
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",398,396,402
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,433,433,411
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,369,401,351
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,506,473,467
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,379,356,361
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,357,354,373
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,514,461,455
04M495,PARK EAST HIGH SCHOOL,379,373,376
04M555,CENTRAL PARK EAST HIGH SCHOOL,421,405,395
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,446,432,448
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,369,369,357
04M680,"HERITAGE SCHOOL, THE",351,358,345
05M285,HARLEM RENAISSANCE HIGH SCHOOL,318,357,333
05M304,MOTT HALL HIGH SCHOOL,399,413,398
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,366,354,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,353,360,364
05M469,CHOIR ACADEMY OF HARLEM,360,354,385
05M499,FREDERICK DOUGLASS ACADEMY,474,458,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,402,396,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,361,369,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",654,605,588
06M293,CITY COLLEGE ACADEMY OF THE ARTS,446,408,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,376,362,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,395,380,399
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s
06M457,GEORGE WASHINGTON YABC,357,394,346
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,384,365,378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,380,369,349
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,378,363,361
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,422,400,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,456,430,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,349,339,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,378,364,348
07X321,CROTONA ACADEMY HIGH SCHOOL,364,379,382
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,324,310,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,359,361,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,375,351,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,394,403,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,426,420,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,396,399,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,378,362,363
07X547,NEW EXPLORERS HIGH SCHOOL,356,367,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,411,387,383
07X551,BRONX ACADEMY OF LETTERS,381,413,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,400,394,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,416,398,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,368,363,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s
