DBN,school_name,math_score,reading_score,writing_score
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,398,388,378
21K410,ABRAHAM LINCOLN HIGH SCHOOL,437,396,393
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,496,468,467
21K540,JOHN DEWEY HIGH SCHOOL,468,404,390
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,375,384,365
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,370,353,356
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,414,394,376
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,449,429,435
21K728,LIBERATION DIPLOMA PLUS,369,411,373
22K405,MIDWOOD HIGH SCHOOL,519,478,476
22K425,JAMES MADISON HIGH SCHOOL,475,436,439
22K495,SHEEPSHEAD BAY HIGH SCHOOL,392,383,370
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,561,524,542
22K555,BROOKLYN COLLEGE ACADEMY,456,456,440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,409,389,387
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,371,361,359
23K643,BROOKLYN DEMOCRACY ACADEMY,338,349,331
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,371,311,311
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,346,350,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,416,392,388
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,454,405,421
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,413,406,400
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,413,406,400
24Q293,CIVIC LEADERSHIP ACADEMY,429,404,407
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,323,317,311
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,568,545,550
24Q455,NEWTOWN HIGH SCHOOL,440,383,380
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,420,395,396
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,393,399,385
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,409,326,329
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,403,391,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",447,443,440
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,447,417,406
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,496,445,423
24Q744,VOYAGES PREPARATORY,s,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",498,455,443
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,417,314,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,463,416,392
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,489,471,481
25Q425,JOHN BOWNE HIGH SCHOOL,451,397,395
25Q460,FLUSHING HIGH SCHOOL,441,393,382
25Q467,FLUSHING YABC,373,378,344
25Q525,TOWNSEND HARRIS HIGH SCHOOL,651,621,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,382,398,388
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,458,431,441
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,421,379,377
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,545,480,489
26Q430,FRANCIS LEWIS HIGH SCHOOL,539,468,467
26Q435,MARTIN VAN BUREN HIGH SCHOOL,397,391,384
26Q495,BAYSIDE HIGH SCHOOL,523,462,464
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",434,425,420
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,385,387,373
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,419,432,401
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",401,391,364
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,426,423,416
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,379,367,348
27Q323,SCHOLARS' ACADEMY,537,499,496
27Q400,AUGUST MARTIN HIGH SCHOOL,371,377,360
27Q400,AUGUST MARTIN HIGH SCHOOL,371,377,360
27Q410,BEACH CHANNEL HIGH SCHOOL,396,384,354
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,368
27Q480,JOHN ADAMS HIGH SCHOOL,409,391,392
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",491,429,425
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,445,420,400
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,408,403,367
28Q350,JAMAICA GATEWAY TO THE SCIENCES,452,430,425
28Q440,FOREST HILLS HIGH SCHOOL,497,456,454
28Q470,JAMAICA HIGH SCHOOL,368,342,353
28Q505,HILLCREST HIGH SCHOOL,413,395,386
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,478,452,442
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,523,513,502
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,660,612,596
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,406,406,384
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",445,439,432
29Q248,QUEENS PREPARATORY ACADEMY,380,360,359
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,397,401,375
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,398,402,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,427,436,424
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,367,370,363
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",426,400,394
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",377,385,377
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",414,379,359
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,381,393,377
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,440,410,405
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,449,414,412
30Q450,LONG ISLAND CITY HIGH SCHOOL,420,403,395
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,496,504,494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,434,407,398
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,434,407,398
30Q555,NEWCOMERS HIGH SCHOOL,475,323,329
30Q575,ACADEMY OF AMERICAN STUDIES,492,487,491
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,568,524,544
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,451,452,450
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,412,398,385
31R080,THE MICHAEL J. PETRIDES SCHOOL,488,472,466
31R080,THE MICHAEL J. PETRIDES SCHOOL,488,472,466
31R440,NEW DORP HIGH SCHOOL,437,424,416
31R445,PORT RICHMOND HIGH SCHOOL,438,424,417
31R450,CURTIS HIGH SCHOOL,435,437,429
31R455,TOTTENVILLE HIGH SCHOOL,486,462,470
31R460,SUSAN E. WAGNER HIGH SCHOOL,474,455,459
31R470,CONCORD HIGH SCHOOL,455,466,414
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,416,397
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,682,635,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,375,405,370
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,366,380,352
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,409,384,361
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,353,348,334
32K552,ACADEMY OF URBAN PLANNING,364,342,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,465,428,422
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,358,347,350
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,317,359,358
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,s
75M035,P.S. 035,s,s,s
75Q256,P.S. Q256,s,s,s
75Q811,P.S. Q811,444,429,433
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s
79Q950,GED PLUS s CITYWIDE,400,496,426
79X490,PHOENIX ACADEMY,370,367,360
79X490,PHOENIX ACADEMY,370,367,360
